DAC member,Fragile context
United Kingdom,Democratic Republic of the Congo
United Kingdom,Eritrea
United Kingdom,Ethiopia
United Kingdom,Gambia
United Kingdom,Guatemala
United Kingdom,Guinea
United Kingdom,Haiti
United Kingdom,Iran
United Kingdom,Iraq
United Kingdom,Kenya
United Kingdom,Democratic People's Republic of Korea
United Kingdom,Lao People's Democratic Republic
United Kingdom,Liberia
United Kingdom,Madagascar
United Kingdom,Mali
United Kingdom,Mozambique
United Kingdom,Myanmar
United Kingdom,Nigeria
United Kingdom,Pakistan
United Kingdom,Papua New Guinea
United Kingdom,Sierra Leone
United Kingdom,Solomon Islands
United Kingdom,Somalia
United Kingdom,South Sudan
United Kingdom,Sudan
United Kingdom,Tajikistan
United Kingdom,Tanzania
United Kingdom,Uganda
United Kingdom,Venezuela
United Kingdom,Zambia
United Kingdom,Zimbabwe
United Kingdom,Eswatini
United Kingdom,Lesotho
United Kingdom,Nicaragua
United States,Afghanistan
United States,Angola
United States,Bangladesh
United States,Burkina Faso
United States,Burundi
United States,Cambodia
United States,Cameroon
United States,Central African Republic
United States,Chad
United States,Congo
United States,Côte d’Ivoire
United States,Democratic Republic of the Congo
United States,Djibouti
United States,Equatorial Guinea
United States,Eritrea
United States,Eswatini
United States,Ethiopia
United States,Gambia
United States,Guatemala
United States,Guinea
United States,Haiti
United States,Honduras
United States,Iraq
United States,Kenya
United States,Lao People's Democratic Republic
United States,Lesotho
United States,Liberia
United States,Madagascar
United States,Mali
United States,Mauritania
United States,Mozambique
United States,Myanmar
United States,Nicaragua
United States,Niger
United States,Nigeria
United States,Pakistan
United States,Papua New Guinea
United States,Sierra Leone
United States,Somalia
United States,South Sudan
United States,Sudan
United States,Tajikistan
United States,Tanzania
United States,Togo
United States,Uganda
United States,Venezuela
United States,Zambia
United States,Zimbabwe
EU Institutions,Afghanistan
EU Institutions,Angola
EU Institutions,Bangladesh
EU Institutions,Burkina Faso
EU Institutions,Burundi
EU Institutions,Cambodia
EU Institutions,Cameroon
EU Institutions,Central African Republic
EU Institutions,Chad
EU Institutions,Congo
EU Institutions,Côte d’Ivoire
EU Institutions,Democratic Republic of the Congo
EU Institutions,Djibouti
EU Institutions,Eritrea
EU Institutions,Eswatini
EU Institutions,Ethiopia
EU Institutions,Gambia
EU Institutions,Guatemala
EU Institutions,Guinea
EU Institutions,Guinea-Bissau
EU Institutions,Haiti
EU Institutions,Honduras
EU Institutions,Iran
EU Institutions,Iraq
EU Institutions,Kenya
EU Institutions,Lao People's Democratic Republic
EU Institutions,Lesotho
EU Institutions,Liberia
EU Institutions,Libya
EU Institutions,Madagascar
EU Institutions,Mali
EU Institutions,Mauritania
EU Institutions,Mozambique
EU Institutions,Myanmar
EU Institutions,Nicaragua
EU Institutions,Niger
EU Institutions,Nigeria
EU Institutions,Pakistan
EU Institutions,Papua New Guinea
EU Institutions,Sierra Leone
EU Institutions,Somalia
EU Institutions,South Sudan
EU Institutions,Sudan
EU Institutions,Syrian Arab Republic
EU Institutions,Tajikistan
EU Institutions,Tanzania
EU Institutions,Togo
EU Institutions,Uganda
EU Institutions,Venezuela
EU Institutions,Yemen
EU Institutions,Zambia
EU Institutions,Zimbabwe
