REGION	Region	LOCATION	Country	INCOME	Income	VAR	Variable	TIME	Year	Value	Flag Codes	Flags
ALL	All regions	BEL	Belgium	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.3		
ALL	All regions	BEL	Belgium	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	10.3		
AME	Americas	CAN	Canada	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18.3		
AME	Americas	CAN	Canada	HIN	High income	DF__2	Discrimination in the family	2019	2019	26.5		
AME	Americas	CAN	Canada	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	4.2		
AME	Americas	CAN	Canada	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	17.4		
AME	Americas	CAN	Canada	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	23.5		
ALL	All regions	CAN	Canada	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18.3		
ALL	All regions	CAN	Canada	HIN	High income	DF__2	Discrimination in the family	2019	2019	26.5		
ALL	All regions	CAN	Canada	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	4.2		
ALL	All regions	CAN	Canada	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	17.4		
ALL	All regions	CAN	Canada	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	23.5		
EUR	Europe	CZE	Czech Republic	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	19.8		
EUR	Europe	CZE	Czech Republic	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.3		
EUR	Europe	CZE	Czech Republic	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	12.8		
EUR	Europe	CZE	Czech Republic	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
EUR	Europe	CZE	Czech Republic	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	26.3		
ALL	All regions	CZE	Czech Republic	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	19.8		
ALL	All regions	CZE	Czech Republic	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.3		
ALL	All regions	CZE	Czech Republic	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	12.8		
ALL	All regions	CZE	Czech Republic	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
ALL	All regions	CZE	Czech Republic	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	26.3		
EUR	Europe	DNK	Denmark	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.4		
EUR	Europe	DNK	Denmark	HIN	High income	DF__2	Discrimination in the family	2019	2019	15		
EUR	Europe	DNK	Denmark	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	10.2		
EUR	Europe	DNK	Denmark	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.8		
EUR	Europe	DNK	Denmark	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11		
ALL	All regions	DNK	Denmark	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.4		
ALL	All regions	DNK	Denmark	HIN	High income	DF__2	Discrimination in the family	2019	2019	15		
ALL	All regions	DNK	Denmark	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	10.2		
ALL	All regions	DNK	Denmark	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.8		
ALL	All regions	DNK	Denmark	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11		
EUR	Europe	FIN	Finland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15.3		
EUR	Europe	FIN	Finland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	FIN	Finland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	16.4		
EUR	Europe	FIN	Finland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.8		
EUR	Europe	FIN	Finland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	18.3		
ALL	All regions	FIN	Finland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15.3		
ALL	All regions	FIN	Finland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	FIN	Finland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	16.4		
ALL	All regions	FIN	Finland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.8		
ALL	All regions	FIN	Finland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	18.3		
EUR	Europe	FRA	France	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.1		
EUR	Europe	FRA	France	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.6		
EUR	Europe	FRA	France	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	6		
EUR	Europe	FRA	France	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.6		
EUR	Europe	FRA	France	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	5.3		
ALL	All regions	FRA	France	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.1		
ALL	All regions	FRA	France	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.6		
ALL	All regions	FRA	France	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	6		
ALL	All regions	FRA	France	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.6		
ALL	All regions	FRA	France	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	5.3		
EUR	Europe	DEU	Germany	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15		
EUR	Europe	DEU	Germany	HIN	High income	DF__2	Discrimination in the family	2019	2019	18.1		
EUR	Europe	DEU	Germany	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	14.5		
EUR	Europe	DEU	Germany	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.1		
EUR	Europe	DEU	Germany	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	14.3		
ALL	All regions	DEU	Germany	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15		
ALL	All regions	DEU	Germany	HIN	High income	DF__2	Discrimination in the family	2019	2019	18.1		
ALL	All regions	DEU	Germany	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	14.5		
ALL	All regions	DEU	Germany	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.1		
ALL	All regions	DEU	Germany	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	14.3		
EUR	Europe	GRC	Greece	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.1		
EUR	Europe	GRC	Greece	HIN	High income	DF__2	Discrimination in the family	2019	2019	45.1		
EUR	Europe	GRC	Greece	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	9.3		
EUR	Europe	GRC	Greece	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33.3		
EUR	Europe	GRC	Greece	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	16.6		
ALL	All regions	GRC	Greece	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.1		
ALL	All regions	GRC	Greece	HIN	High income	DF__2	Discrimination in the family	2019	2019	45.1		
ALL	All regions	GRC	Greece	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	9.3		
ALL	All regions	GRC	Greece	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33.3		
ALL	All regions	GRC	Greece	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	16.6		
EUR	Europe	HUN	Hungary	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	25.7		
EUR	Europe	HUN	Hungary	HIN	High income	DF__2	Discrimination in the family	2019	2019	34.1		
EUR	Europe	HUN	Hungary	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.1		
EUR	Europe	HUN	Hungary	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23.4		
EUR	Europe	HUN	Hungary	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	27.6		
ALL	All regions	HUN	Hungary	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	25.7		
ALL	All regions	HUN	Hungary	HIN	High income	DF__2	Discrimination in the family	2019	2019	34.1		
ALL	All regions	HUN	Hungary	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.1		
ALL	All regions	HUN	Hungary	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23.4		
ALL	All regions	HUN	Hungary	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	27.6		
EUR	Europe	ISL	Iceland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	ISL	Iceland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	17.4		
ALL	All regions	ISL	Iceland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	ISL	Iceland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	17.4		
EUR	Europe	IRL	Ireland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.1		
EUR	Europe	IRL	Ireland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	IRL	Ireland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	18.5		
EUR	Europe	IRL	Ireland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.9		
EUR	Europe	IRL	Ireland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11.8		
ALL	All regions	IRL	Ireland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.1		
ALL	All regions	IRL	Ireland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	IRL	Ireland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	18.5		
ALL	All regions	IRL	Ireland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.9		
ALL	All regions	IRL	Ireland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11.8		
EUR	Europe	ITA	Italy	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	13.5		
EUR	Europe	ITA	Italy	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	ITA	Italy	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	14.7		
EUR	Europe	ITA	Italy	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	8		
EUR	Europe	ITA	Italy	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	8.9		
ALL	All regions	ITA	Italy	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	13.5		
ALL	All regions	ITA	Italy	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	ITA	Italy	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	14.7		
ALL	All regions	ITA	Italy	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	8		
ALL	All regions	ITA	Italy	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	8.9		
ASI	Asia	JPN	Japan	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24		
ASI	Asia	JPN	Japan	HIN	High income	DF__2	Discrimination in the family	2019	2019	20.2		
ASI	Asia	JPN	Japan	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	21.3		
ASI	Asia	JPN	Japan	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	29.6		
ASI	Asia	JPN	Japan	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	24.8		
ALL	All regions	JPN	Japan	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24		
ALL	All regions	JPN	Japan	HIN	High income	DF__2	Discrimination in the family	2019	2019	20.2		
ALL	All regions	JPN	Japan	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	21.3		
ALL	All regions	JPN	Japan	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	29.6		
ALL	All regions	JPN	Japan	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	24.8		
ASI	Asia	KOR	Korea	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.4		
ASI	Asia	KOR	Korea	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ASI	Asia	KOR	Korea	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.5		
ASI	Asia	KOR	Korea	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33		
ASI	Asia	KOR	Korea	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	20.4		
ALL	All regions	KOR	Korea	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.4		
ALL	All regions	KOR	Korea	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	KOR	Korea	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.5		
ALL	All regions	KOR	Korea	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33		
ALL	All regions	KOR	Korea	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	20.4		
EUR	Europe	LUX	Luxembourg	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
EUR	Europe	LUX	Luxembourg	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.3		
EUR	Europe	LUX	Luxembourg	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	8.1		
ALL	All regions	LUX	Luxembourg	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	LUX	Luxembourg	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.3		
ALL	All regions	LUX	Luxembourg	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	8.1		
EUR	Europe	NLD	Netherlands	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
EUR	Europe	NLD	Netherlands	HIN	High income	DF__2	Discrimination in the family	2019	2019	23.8		
EUR	Europe	NLD	Netherlands	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	13.5		
EUR	Europe	NLD	Netherlands	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5		
EUR	Europe	NLD	Netherlands	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	21.1		
ALL	All regions	NLD	Netherlands	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
ALL	All regions	NLD	Netherlands	HIN	High income	DF__2	Discrimination in the family	2019	2019	23.8		
ALL	All regions	NLD	Netherlands	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	13.5		
ALL	All regions	NLD	Netherlands	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5		
ALL	All regions	NLD	Netherlands	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	21.1		
ASI	Asia	NZL	New Zealand	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.7		
ASI	Asia	NZL	New Zealand	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
ASI	Asia	NZL	New Zealand	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.5		
ASI	Asia	NZL	New Zealand	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.3		
ASI	Asia	NZL	New Zealand	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	22		
ALL	All regions	NZL	New Zealand	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.7		
ALL	All regions	NZL	New Zealand	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	NZL	New Zealand	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	17.5		
ALL	All regions	NZL	New Zealand	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.3		
ALL	All regions	NZL	New Zealand	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	22		
EUR	Europe	NOR	Norway	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.5		
EUR	Europe	NOR	Norway	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.3		
EUR	Europe	NOR	Norway	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7		
EUR	Europe	NOR	Norway	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.2		
EUR	Europe	NOR	Norway	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	19.5		
ALL	All regions	NOR	Norway	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.5		
ALL	All regions	NOR	Norway	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.3		
ALL	All regions	NOR	Norway	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7		
ALL	All regions	NOR	Norway	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.2		
ALL	All regions	NOR	Norway	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	19.5		
EUR	Europe	POL	Poland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.4		
EUR	Europe	POL	Poland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
EUR	Europe	POL	Poland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	19.7		
EUR	Europe	POL	Poland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.3		
EUR	Europe	POL	Poland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	12.5		
ALL	All regions	POL	Poland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.4		
ALL	All regions	POL	Poland	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	POL	Poland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	19.7		
ALL	All regions	POL	Poland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.3		
ALL	All regions	POL	Poland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	12.5		
EUR	Europe	PRT	Portugal	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
EUR	Europe	PRT	Portugal	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	PRT	Portugal	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7.4		
EUR	Europe	PRT	Portugal	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.2		
EUR	Europe	PRT	Portugal	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11.4		
ALL	All regions	PRT	Portugal	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
ALL	All regions	PRT	Portugal	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	PRT	Portugal	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7.4		
ALL	All regions	PRT	Portugal	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.2		
ALL	All regions	PRT	Portugal	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	11.4		
EUR	Europe	SVK	Slovak Republic	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.5		
EUR	Europe	SVK	Slovak Republic	HIN	High income	DF__2	Discrimination in the family	2019	2019	26.5		
EUR	Europe	SVK	Slovak Republic	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	5.9		
EUR	Europe	SVK	Slovak Republic	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.5		
EUR	Europe	SVK	Slovak Republic	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	24.4		
ALL	All regions	SVK	Slovak Republic	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.5		
ALL	All regions	SVK	Slovak Republic	HIN	High income	DF__2	Discrimination in the family	2019	2019	26.5		
ALL	All regions	SVK	Slovak Republic	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	5.9		
ALL	All regions	SVK	Slovak Republic	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.5		
ALL	All regions	SVK	Slovak Republic	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	24.4		
EUR	Europe	ESP	Spain	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.3		
EUR	Europe	ESP	Spain	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.7		
EUR	Europe	ESP	Spain	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	11.7		
EUR	Europe	ESP	Spain	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.5		
EUR	Europe	ESP	Spain	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	5.8		
ALL	All regions	ESP	Spain	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.3		
ALL	All regions	ESP	Spain	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.7		
ALL	All regions	ESP	Spain	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	11.7		
ALL	All regions	ESP	Spain	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.5		
ALL	All regions	ESP	Spain	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	5.8		
EUR	Europe	SWE	Sweden	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.5		
EUR	Europe	SWE	Sweden	HIN	High income	DF__2	Discrimination in the family	2019	2019	15.1		
EUR	Europe	SWE	Sweden	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	8.1		
EUR	Europe	SWE	Sweden	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.1		
EUR	Europe	SWE	Sweden	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	16.2		
ALL	All regions	SWE	Sweden	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.5		
ALL	All regions	SWE	Sweden	HIN	High income	DF__2	Discrimination in the family	2019	2019	15.1		
ALL	All regions	SWE	Sweden	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	8.1		
ALL	All regions	SWE	Sweden	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.1		
ALL	All regions	SWE	Sweden	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	16.2		
EUR	Europe	CHE	Switzerland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	8.1		
EUR	Europe	CHE	Switzerland	HIN	High income	DF__2	Discrimination in the family	2019	2019	0.1		
EUR	Europe	CHE	Switzerland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	13.3		
EUR	Europe	CHE	Switzerland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
EUR	Europe	CHE	Switzerland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	6.5		
ALL	All regions	CHE	Switzerland	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	8.1		
ALL	All regions	CHE	Switzerland	HIN	High income	DF__2	Discrimination in the family	2019	2019	0.1		
ALL	All regions	CHE	Switzerland	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	13.3		
ALL	All regions	CHE	Switzerland	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
ALL	All regions	CHE	Switzerland	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	6.5		
EUR	Europe	GBR	United Kingdom	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.5		
EUR	Europe	GBR	United Kingdom	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.6		
EUR	Europe	GBR	United Kingdom	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	24.5		
EUR	Europe	GBR	United Kingdom	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	9.5		
EUR	Europe	GBR	United Kingdom	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	6.7		
ALL	All regions	GBR	United Kingdom	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.5		
ALL	All regions	GBR	United Kingdom	HIN	High income	DF__2	Discrimination in the family	2019	2019	27.6		
ALL	All regions	GBR	United Kingdom	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	24.5		
ALL	All regions	GBR	United Kingdom	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	9.5		
ALL	All regions	GBR	United Kingdom	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	6.7		
AME	Americas	USA	United States	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.9		
AME	Americas	USA	United States	HIN	High income	DF__2	Discrimination in the family	2019	2019	26.6		
AME	Americas	USA	United States	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	10.5		
