"",Overall score,Rank,I Electoral II Functioning of,,III Political,IV Political,V Civil liberties
"",,,process and,government,participation,culture,
"",,,pluralism,,,,
"",,,Full democracy,,,,
Norway,9.75,1,10.00,9.64,10.00,10.00,9.12
New Zealand,9.37,2,10.00,8.93,9.44,8.75,9.71
Finland,9.27,3,10.00,9.29,8.89,8.75,9.41
Sweden,9.26,4,9.58,9.29,8.33,10.00,9.12
Iceland,9.18,5,10.00,8.21,8.89,9.38,9.41
Denmark,9.09,6,10.00,8.93,8.33,9.38,8.82
Ireland,9.00,7,10.00,7.86,8.33,9.38,9.41
Taiwan,8.99,8,10.00,9.64,7.78,8.13,9.41
Australia,8.90,9=,10.00,8.57,7.78,8.75,9.41
Switzerland,8.90,9=,9.58,8.93,7.78,9.38,8.82
Netherlands,8.88,11,9.58,8.93,8.33,8.75,8.82
Canada,8.87,12,10.00,8.21,8.89,8.13,9.12
Uruguay,8.85,13,10.00,8.57,7.22,8.75,9.71
Luxembourg,8.68,14,10.00,8.57,6.67,8.75,9.41
Germany,8.67,15,9.58,8.21,8.33,8.13,9.12
South Korea,8.16,16,9.58,8.57,7.22,7.50,7.94
Japan,8.15,17,9.17,8.57,6.67,8.13,8.24
United Kingdom,8.10,18,9.58,7.50,8.33,6.25,8.82
Mauritius,8.08,19,9.17,7.86,6.11,8.75,8.53
Austria,8.07,20=,9.58,6.79,8.89,6.88,8.24
Costa Rica,8.07,20=,9.58,6.43,7.78,6.88,9.71
"",,,Flawed democracy,,,,
France,7.99,22,9.58,7.50,7.78,6.88,8.24
Israel,7.97,23,9.58,7.50,10.00,6.88,5.88
Spain,7.94,24,9.58,7.14,7.22,7.50,8.24
Chile,7.92,25,9.58,7.86,5.56,7.50,9.12
United States of America,7.85,26,9.17,6.43,8.89,6.25,8.53
Estonia,7.84,27,9.58,7.86,6.67,6.88,8.24
Portugal,7.82,28,9.58,7.14,6.67,6.88,8.82
"",,Overall score,Rank,"I Electoralprocess andpluralism","II Functioning ofgovernment","III Politicalparticipation","IV Politicalculture",V Civil liberties,
Guatemala,4.62,99,6.92,3.93,3.89,2.50,5.88,
Uganda,4.48,100,3.42,3.21,3.89,6.88,5.00,
Gambia,4.41,101=,3.58,4.29,4.44,5.63,4.12,
"",,Overall score,Rank,"I Electoralprocess andpluralism","II Functioning ofgovernment","III Politicalparticipation","IV Politicalculture",V Civil liberties,
Nepal,4.41,101=,4.83,5.00,4.44,2.50,5.29,,
Turkey,4.35,103,3.50,5.00,5.56,5.63,2.06,,
Pakistan,4.31,104,5.67,5.36,3.33,2.50,4.71,,
Côte d'Ivoire,4.22,105,4.33,2.86,4.44,5.63,3.82,,
Benin,4.19,106,1.67,5.36,3.89,5.63,4.41,,
Nigeria,4.11,107,5.17,3.93,3.89,3.75,3.82,,
Mauritania,4.03,108,3.50,3.57,5.56,3.13,4.41,,
"",Authoritarian,,,,,,,,
Palestine,3.94,109,3.33,0.14,8.33,4.38,3.53,,
Kuwait,3.91,110,3.58,3.93,4.44,4.38,3.24,,
Burkina Faso,3.84,111=,3.00,2.36,5.00,5.00,3.82,,
Lebanon,3.84,111=,3.50,1.14,6.67,3.75,4.12,,
Algeria,3.77,113,3.08,2.50,4.44,5.00,3.82,,
Qatar,3.65,114,1.50,4.29,3.33,5.63,3.53,,
Kyrgyz Republic,3.62,115,4.33,1.50,4.44,3.13,4.71,,
Iraq,3.51,116=,5.25,0.00,6.11,5.00,1.18,,
Mozambique,3.51,116=,2.58,1.43,5.00,5.00,3.53,,
Jordan,3.49,118,2.67,3.93,3.89,3.75,3.24,,
Haiti,3.48,119=,3.08,0.00,2.78,6.25,5.29,,
Mali,3.48,119=,2.42,0.00,5.56,5.63,3.82,,
Gabon,3.40,121,2.17,1.86,4.44,5.00,3.53,,
Angola,3.37,122,1.33,2.86,5.00,5.00,2.65,,
Ethiopia,3.30,123,0.42,3.21,6.11,5.00,1.76,,
Russia,3.24,124,1.75,2.14,4.44,3.75,4.12,,
Niger,3.22,125,2.00,1.14,3.89,4.38,4.71,,
Comoros,3.20,126,2.08,2.21,4.44,3.75,3.53,,
Rwanda,3.10,127,1.42,4.29,2.78,4.38,2.65,,
Eswatini,3.08,128=,0.92,2.86,2.78,5.63,3.24,,
Kazakhstan,3.08,128=,0.50,3.21,5.00,3.75,2.94,,
Oman,3.00,130,0.08,3.93,2.78,4.38,3.82,,
Vietnam,2.94,131,0.00,2.86,3.89,5.63,2.35,,
Egypt,2.93,132,1.33,3.21,3.33,5.00,1.76,,
Zimbabwe,2.92,133,0.00,2.50,3.89,5.00,3.24,,
Cambodia,2.90,134=,0.00,3.21,3.89,5.63,1.76,,
United Arab Emirates,2.90,134=,0.00,4.29,2.22,5.63,2.35,,
Togo,2.80,136,0.92,1.79,3.33,5.00,2.94,,
Congo (Brazzaville),2.79,137,0.00,2.50,4.44,3.75,3.24,,
"",,Overall score,Rank,"I Electoralprocess andpluralism","II Functioning ofgovernment","III Politicalparticipation","IV Politicalculture",V Civil liberties
Guinea-Bissau,2.75,138,4.92,0.00,3.33,3.13,2.35,
Djibouti,2.74,139,0.00,1.29,4.44,5.63,2.35,
Nicaragua,2.69,140,0.00,2.50,3.33,4.38,3.24,
Azerbaijan,2.68,141,0.50,2.50,2.78,5.00,2.65,
Cuba,2.59,142,0.00,3.21,3.33,3.75,2.65,
Cameroon,2.56,143,0.33,2.14,3.89,4.38,2.06,
Bahrain,2.52,144,0.42,2.71,3.33,4.38,1.76,
Sudan,2.47,145,0.00,1.43,4.44,5.00,1.47,
Belarus,2.41,146,0.00,2.00,3.89,4.38,1.76,
Guinea,2.28,147,1.25,0.43,3.33,3.75,2.65,
China,2.21,148,0.00,4.29,2.78,3.13,0.88,
Burundi,2.13,149,0.00,0.00,3.89,5.00,1.76,
Uzbekistan,2.12,150,0.08,1.86,2.78,5.00,0.88,
Venezuela,2.11,151,0.00,1.79,3.89,2.50,2.35,
Saudi Arabia,2.08,152,0.00,3.57,2.22,3.13,1.47,
Eritrea,2.03,153,0.00,2.14,0.56,6.88,0.59,
Libya,1.95,154=,0.00,0.00,3.33,3.75,2.65,
Iran,1.95,154=,0.00,2.50,3.89,1.88,1.47,
Yemen,1.95,154=,0.00,0.00,3.89,5.00,0.88,
Tajikistan,1.94,157,0.00,2.21,2.22,4.38,0.88,
Equatorial Guinea,1.92,158,0.00,0.43,3.33,4.38,1.47,
Laos,1.77,159,0.00,2.86,1.67,3.75,0.59,
Chad,1.67,160,0.00,0.00,2.22,3.75,2.35,
Turkmenistan,1.66,161,0.00,0.79,2.22,5.00,0.29,
Syria,1.43,162=,0.00,0.00,2.78,4.38,0.00,
Central African Republic,1.43,162=,1.25,0.00,1.67,1.88,2.35,
Democratic Republic of Congo,1.40,164,0.75,0.00,2.22,3.13,0.88,
North Korea,1.08,165,0.00,2.50,1.67,1.25,0.00,
Myanmar,1.02,166,0.00,0.00,1.67,3.13,0.29,
Afghanistan,0.32,167,0.00,0.07,0.00,1.25,0.29,
