iso3c,country,original_score,original_type,original_rank,new_score,new_type,new_rank,difference_rank,per_chg_score
KHM,Cambodia,-1.72143855069077,Other fragile,44,-1.7872248933802,Other fragile,41,-3,3.82159111418945
VEN,Venezuela (Bolivarian Republic of),-1.63912105953822,Other fragile,45,-1.66977430116775,Other fragile,45,0,1.87010236072287
CIV,Côte d'Ivoire,-1.62619424740202,Other fragile,46,-1.75864852270212,Other fragile,42,-4,8.14504635665185
SLB,Solomon Islands,-1.60512250811911,Other fragile,47,-1.67311112550443,Other fragile,44,-3,4.2357276183853
LAO,Lao People's Democratic Republic (the),-1.59004603312316,Other fragile,48,-1.57656780947117,Other fragile,48,0,-0.847662480910461
SWZ,Eswatini,-1.54774089867077,Other fragile,49,-1.5447555171767,Other fragile,50,1,-0.192886386644807
GTM,Guatemala,-1.54342563906046,Other fragile,50,-1.54512126573952,Other fragile,49,-1,0.109861248650254
KEN,Kenya,-1.53808419220562,Other fragile,51,-1.517184803814,Other fragile,53,2,-1.35879352362697
NIC,Nicaragua,-1.53452699887103,Other fragile,52,-1.49753398446166,Other fragile,54,2,-2.41071121176663
TGO,Togo,-1.51965358810297,Other fragile,53,-1.51947249772962,Other fragile,52,-1,-0.0119165561656841
TZA,"Tanzania, the United Republic of",-1.50573277239367,Other fragile,54,-1.53361881792662,Other fragile,51,-3,1.85199167104661
LSO,Lesotho,-1.49134081059279,Other fragile,55,-1.38952601451123,Other fragile,57,2,-6.82706430068723
HND,Honduras,-1.45901137901802,Other fragile,56,-1.32580323980591,Other fragile,59,3,-9.13002743691861
TKM,Turkmenistan,-1.45738678543474,Other fragile,57,-1.58451201158328,Other fragile,47,-10,8.72282001038032
PRK,Korea (the Democratic People's Republic of),-1.39066888349067,Other fragile,58,-1.42076977913601,Other fragile,56,-2,2.16449048387312
BEN,Benin,-1.33389651554538,Other fragile,59,-1.42985678042978,Other fragile,55,-4,7.19398122463537
IRN,Iran (Islamic Republic of),-1.23460357969815,Other fragile,60,-1.26114862690617,Other fragile,60,0,2.15008668730007
GAB,Gabon,-1.08884438928065,Rest of the world,61,-1.02138340083768,Rest of the world,64,3,-6.19565009537666
MWI,Malawi,-1.07439262382932,Rest of the world,62,-1.04545645044429,Rest of the world,63,1,-2.69325875320109
AZE,Azerbaijan,-0.952036905174703,Rest of the world,63,-0.848414592635587,Rest of the world,69,6,-10.8842747561452
RWA,Rwanda,-0.938299597056247,Rest of the world,64,-1.10146968011814,Rest of the world,62,-2,17.3899768873195
EGY,Egypt,-0.93013744869557,Rest of the world,65,-0.993540571608937,Rest of the world,65,0,6.81653265356469
NPL,Nepal,-0.898665765420752,Rest of the world,66,-0.878621636321425,Rest of the world,66,0,-2.23043203275274
SEN,Senegal,-0.895944893258362,Rest of the world,67,-0.876523466194904,Rest of the world,67,0,-2.16770330514709
IDN,Indonesia,-0.848688070776235,Rest of the world,68,-0.875746255339234,Rest of the world,68,0,3.18823670259095
PHL,Philippines (the),-0.811053963573916,Rest of the world,69,-1.12729816404483,Rest of the world,61,-8,38.9917582151231
IND,India,-0.683594229493231,Rest of the world,70,-0.792576840049489,Rest of the world,70,0,15.9425878473331
PRY,Paraguay,-0.655422422759704,Rest of the world,71,-0.661580779119455,Rest of the world,73,2,0.939601110047598
LBN,Lebanon,-0.622300753322041,Rest of the world,72,-0.696093097964973,Rest of the world,72,0,11.8579873556323
STP,Sao Tome and Principe,-0.579305435642692,Rest of the world,73,-0.517986987065757,Rest of the world,76,3,-10.584821892601
DZA,Algeria,-0.555833201114723,Rest of the world,74,-0.713422186304786,Rest of the world,71,-3,28.351848157688
SLV,El Salvador,-0.52610083457039,Rest of the world,75,-0.477476508981712,Rest of the world,79,4,-9.24239658893229
KGZ,Kyrgyzstan,-0.508209290310831,Rest of the world,76,-0.379686414238335,Rest of the world,84,8,-25.2893598214013
UZB,Uzbekistan,-0.506755588519063,Rest of the world,77,-0.423494278535276,Rest of the world,81,4,-16.4302697138692
ZAF,South Africa,-0.506418309604254,Rest of the world,78,-0.589378781803703,Rest of the world,74,-4,16.3818074161417
COL,Colombia,-0.481865052277394,Rest of the world,79,-0.504121717287708,Rest of the world,77,-2,4.61885851757135
OMN,Oman,-0.471185007033122,Rest of the world,80,-0.549776078933211,Rest of the world,75,-5,16.6794509008145
VUT,Vanuatu,-0.464763338095292,Rest of the world,81,-0.0363423444119079,Rest of the world,92,11,-92.1804623056441
GHA,Ghana,-0.411767973543556,Rest of the world,82,-0.482339204412912,Rest of the world,78,-4,17.1385914892896
SAU,Saudi Arabia,-0.391367823615632,Rest of the world,83,-0.461178639315518,Rest of the world,80,-3,17.8376482396898
TUR,Turkey,-0.344014788504037,Rest of the world,84,-0.412870995470258,Rest of the world,83,-1,20.0154787721903
PER,Peru,-0.342355143962903,Rest of the world,85,-0.417010062663294,Rest of the world,82,-3,21.8062792444797
MEX,Mexico,-0.307919658281555,Rest of the world,86,-0.35243842612718,Rest of the world,86,0,14.4579167481792
BHR,Bahrain,-0.275110885334414,Rest of the world,87,-0.330265661416999,Rest of the world,87,0,20.0481983893662
SUR,Suriname,-0.244591630224779,Rest of the world,88,-0.376894047062953,Rest of the world,85,-3,54.0911464209092
ECU,Ecuador,-0.241944697812681,Rest of the world,89,-0.258358037009164,Rest of the world,89,0,6.78392184034989
NAM,Namibia,-0.190527406423387,Rest of the world,90,-0.281106139111417,Rest of the world,88,-2,47.5410516462642
DOM,Dominican Republic (the),-0.186952103115674,Rest of the world,91,-0.203847234618653,Rest of the world,90,-1,9.03714439228607
VNM,Viet Nam,-0.0779561665358026,Rest of the world,92,-0.136485393408936,Rest of the world,91,-1,75.0796626797355
GUY,Guyana,-0.045779044694196,Rest of the world,93,-0.0108846707163801,Rest of the world,95,2,-76.2234647116608
MDV,Maldives,-0.0296031615082584,Rest of the world,94,-0.0199796331753258,Rest of the world,94,0,-32.5084478907698
LKA,Sri Lanka,0.0311296630755095,Rest of the world,95,-0.0233673760847891,Rest of the world,93,-2,-175.064661085821
BTN,Bhutan,0.0360026539936924,Rest of the world,96,0.083165039679812,Rest of the world,98,2,130.996969541141
PAN,Panama,0.102354677055317,Rest of the world,97,0.143455827748101,Rest of the world,100,3,40.1556156252353
KWT,Kuwait,0.128316957562087,Rest of the world,98,0.067797706829368,Rest of the world,96,-2,-47.1638759853205
JOR,Jordan,0.137450471845793,Rest of the world,99,0.286194059500297,Rest of the world,103,4,108.216134624391
THA,Thailand,0.145395162025834,Rest of the world,100,0.0903096131005419,Rest of the world,99,-1,-37.8867825846258
BIH,Bosnia and Herzegovina,0.182631028280378,Rest of the world,101,0.230447967462611,Rest of the world,102,1,26.1822646636056
BWA,Botswana,0.184746893320963,Rest of the world,102,0.0707225416797319,Rest of the world,97,-5,-61.7192254719733
FJI,Fiji,0.267099048648541,Rest of the world,103,0.197394351390632,Rest of the world,101,-2,-26.0969470354157
BOL,Bolivia (Plurinational State of),0.298260967280573,Rest of the world,104,0.287927480022576,Rest of the world,104,0,-3.46457914094951
ALB,Albania,0.343594920222188,Rest of the world,105,0.346126833126235,Rest of the world,105,0,0.73688892210912
KAZ,Kazakhstan,0.419865442241601,Rest of the world,106,0.427452711818874,Rest of the world,107,1,1.80707169820066
QAT,Qatar,0.465311310531825,Rest of the world,107,0.468484084103534,Rest of the world,110,3,0.681860401820594
CPV,Cabo Verde,0.54468078339194,Rest of the world,108,0.697855269149449,Rest of the world,114,6,28.1218817384435
CHN,China,0.570595711533674,Rest of the world,109,0.465345847377115,Rest of the world,109,0,-18.4456107939654
BRA,Brazil,0.57928674264418,Rest of the world,110,0.462644191510009,Rest of the world,108,-2,-20.1355464483359
MAR,Morocco,0.583803226513161,Rest of the world,111,0.35529133810429,Rest of the world,106,-5,-39.1419365346244
CUB,Cuba,0.65736625845642,Rest of the world,112,0.612334590417286,Rest of the world,111,-1,-6.85031631299029
MYS,Malaysia,0.688666666873028,Rest of the world,113,0.630003358656933,Rest of the world,112,-1,-8.51838938022987
BLZ,Belize,0.701030290928071,Rest of the world,114,0.664115653787397,Rest of the world,113,-1,-5.26576919975939
JAM,Jamaica,0.818168777080451,Rest of the world,115,0.914258076416724,Rest of the world,120,5,11.7444348926584
MKD,North Macedonia,0.820002943883971,Rest of the world,116,0.797468109055188,Rest of the world,116,0,-2.74814072276937
ARE,United Arab Emirates (the),0.825114390919574,Rest of the world,117,0.762566211541117,Rest of the world,115,-2,-7.58054641475204
UKR,Ukraine,0.826237866358911,Rest of the world,118,0.977963682650489,Rest of the world,122,4,18.3634546986097
MUS,Mauritius,0.830866907987604,Rest of the world,119,0.913237112177003,Rest of the world,119,0,9.91376638033439
SRB,Serbia,0.847376487169835,Rest of the world,120,0.920572035191508,Rest of the world,121,1,8.63790170366183
ARG,Argentina,0.85699603874121,Rest of the world,121,0.832306518220686,Rest of the world,117,-4,-2.88093753114529
MNG,Mongolia,0.892701891414058,Rest of the world,122,0.992969361970736,Rest of the world,123,1,11.2319097249646
RUS,Russian Federation (the),0.922084493612174,Rest of the world,123,0.866917900255658,Rest of the world,118,-5,-5.9828132604645
TTO,Trinidad and Tobago,0.982827126759126,Rest of the world,124,1.04600652485079,Rest of the world,124,0,6.4283327526783
BLR,Belarus,1.04788665360893,Rest of the world,125,1.06535556076051,Rest of the world,125,0,1.66706075427309
MDA,Moldova (the Republic of),1.23396936680681,Rest of the world,126,1.30772639445053,Rest of the world,126,0,5.97721707100266
GEO,Georgia,1.39387966910224,Rest of the world,127,1.38215844380851,Rest of the world,127,0,-0.840906539750258
TUN,Tunisia,1.39555707799281,Rest of the world,128,1.38870474985272,Rest of the world,128,0,-0.491010238717384
ARM,Armenia,1.42363719344989,Rest of the world,129,1.57836958856537,Rest of the world,131,2,10.868808136469
CRI,Costa Rica,1.47253225529419,Rest of the world,130,1.43353037145811,Rest of the world,129,-1,-2.64862679210296
MNE,Montenegro,1.48543336365815,Rest of the world,131,1.50554959356993,Rest of the world,130,-1,1.35423307459851
BGR,Bulgaria,1.72037258495292,Rest of the world,132,1.72167257591174,Rest of the world,133,1,0.0755645009802123
BRN,Brunei Darussalam,1.78109023151002,Rest of the world,133,1.72064697662545,Rest of the world,132,-1,-3.39360992583323
CHL,Chile,2.00392135302256,Rest of the world,134,1.92761061753834,Rest of the world,134,0,-3.80807038006351
HUN,Hungary,2.02423503873373,Rest of the world,135,2.06402926725457,Rest of the world,137,2,1.96588971929532
HKG,Hong Kong,2.03006485859394,Rest of the world,136,1.96299516274117,Rest of the world,135,-1,-3.30382034686437
ROM,Romania,2.0745892113015,Rest of the world,137,2.05498019973893,Rest of the world,136,-1,-0.945199727047083
HRV,Croatia,2.09883052451868,Rest of the world,138,2.13888316594065,Rest of the world,139,1,1.908331375691
BRB,Barbados,2.09894407006757,Rest of the world,139,2.09708411339313,Rest of the world,138,-1,-0.0886139226368164
SYC,Seychelles,2.20525426473262,Rest of the world,140,2.18010677345062,Rest of the world,140,0,-1.14034429880352
SVK,Slovakia,2.30537620243238,Rest of the world,141,2.34054227253489,Rest of the world,141,0,1.5253939927638
CYP,Cyprus,2.34492510299766,Rest of the world,142,2.44496399303003,Rest of the world,143,1,4.26618700548194
POL,Poland,2.43681894564613,Rest of the world,143,2.43120726235142,Rest of the world,142,-1,-0.230287248247827
URY,Uruguay,2.50119644417453,Rest of the world,144,2.48569406154,Rest of the world,144,0,-0.619798683571463
MLT,Malta,2.51774800195804,Rest of the world,145,2.55764916918591,Rest of the world,145,0,1.58479590478629
GRC,Greece,2.60974408040548,Rest of the world,146,2.61230708278128,Rest of the world,146,0,0.0982089544734844
SVN,Slovenia,2.68125047596747,Rest of the world,147,2.71674796281805,Rest of the world,147,0,1.32391535847734
CZE,Czechia,2.78607246627926,Rest of the world,148,2.78765869449556,Rest of the world,148,0,0.0569342052476668
ITA,Italy,2.81082719343373,Rest of the world,149,2.87525725291813,Rest of the world,150,1,2.29220991012584
KOR,Korea (the Republic of),2.8611164745795,Rest of the world,150,2.82851169669628,Rest of the world,149,-1,-1.13958233343199
ISR,Israel,2.89506349910454,Rest of the world,151,2.93437999613783,Rest of the world,151,0,1.35805301146074
LTU,Lithuania,3.0390740112514,Rest of the world,152,3.03134443808861,Rest of the world,152,0,-0.254339747376116
IRL,Ireland,3.03921320589194,Rest of the world,153,3.0346695532793,Rest of the world,153,0,-0.149500949911358
USA,United States of America (the),3.04650340449004,Rest of the world,154,3.03725151670122,Rest of the world,154,0,-0.303688739529534
JPN,Japan,3.12548925769875,Rest of the world,155,3.23697473259987,Rest of the world,157,2,3.56697674216949
SGP,Singapore,3.14529471768463,Rest of the world,156,3.15924541481077,Rest of the world,156,0,0.443541810174452
LVA,Latvia,3.15714353789695,Rest of the world,157,3.13166155932809,Rest of the world,155,-2,-0.807121319097022
ESP,Spain,3.29644239771351,Rest of the world,158,3.32879885215351,Rest of the world,158,0,0.981556797790342
PRT,Portugal,3.34182130224066,Rest of the world,159,3.3436616515085,Rest of the world,159,0,0.0550702476702183
GBR,United Kingdom,3.57748076262588,Rest of the world,160,3.56418273478678,Rest of the world,160,0,-0.371714866450865
FRA,France,3.58435171286985,Rest of the world,161,3.61069227481314,Rest of the world,164,3,0.734876598429569
EST,Estonia,3.59198748600357,Rest of the world,162,3.57547676367858,Rest of the world,161,-1,-0.45965422734141
DEU,Germany,3.60975390667121,Rest of the world,163,3.61334560090933,Rest of the world,165,2,0.0994996980675655
CHE,Switzerland,3.62569484898636,Rest of the world,164,3.60311380452206,Rest of the world,162,-2,-0.622805983537555
AUT,Austria,3.62651788552601,Rest of the world,165,3.64495601083796,Rest of the world,166,1,0.508425048323607
NLD,Netherlands (the),3.63959483618751,Rest of the world,166,3.60540206108111,Rest of the world,163,-3,-0.939466524307333
AUS,Australia,3.69473871111594,Rest of the world,167,3.65097149516481,Rest of the world,167,0,-1.1845821686782
BEL,Belgium,3.73372747124827,Rest of the world,168,3.7510121246043,Rest of the world,169,1,0.462932913265122
CAN,Canada,3.74458414028028,Rest of the world,169,3.72871369158398,Rest of the world,168,-1,-0.423824064348899
NOR,Norway,3.81940098415988,Rest of the world,170,3.79804307115334,Rest of the world,170,0,-0.559195357992456
ISL,Iceland,3.83082213851845,Rest of the world,171,3.88927305584794,Rest of the world,172,1,1.52580608589924
NZL,New Zealand,3.89920819822758,Rest of the world,172,3.86249971016647,Rest of the world,171,-1,-0.941434419372525
SWE,Sweden,3.96745681191715,Rest of the world,173,3.9898894088636,Rest of the world,174,1,0.565415025541524
LUX,Luxembourg,4.03521931807948,Rest of the world,174,3.98620359217987,Rest of the world,173,-1,-1.21469793921729
FIN,Finland,4.25573259355664,Rest of the world,175,4.29134748161411,Rest of the world,175,0,0.836868559631601
DNK,Denmark,4.57672022584022,Rest of the world,176,4.61257302451998,Rest of the world,176,0,0.783373177965621
