PROD (%GWh),2011,2012,2013,2014,2015,2016,2017,2018,2019
Nicaragua,34.0,42.9,52.4,54.3,50.1,52.4,55.9,58.9,56.8
Panama,52.7,62.9,57.9,55.8,65.3,66.6,72.4,78.4,53.2
Puerto Rico,0.7,0.5,1.4,1.7,1.9,1.9,2.3,1.4,2.4
St Barth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Kitts Nevis,2.5,3.6,3.9,4.7,4.5,4.6,4.6,4.5,4.5
St Lucia,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.8,0.8
St Martin,,,1.2,1.3,2.1,1.4,0.1,0.1,0.6
St Vincent Gren,21.3,17.3,16.2,8.6,12.1,10.9,14.1,16.6,17.6
Trinidad Tobago,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
Turks Caicos,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6
US Virgin Is,0.1,0.1,0.2,1.1,2.0,2.0,1.4,1.2,1.1
Eurasia,17.4,17.4,18.9,16.9,18.4,19.6,19.1,20.9,23.3
Armenia,33.6,28.8,28.2,25.8,28.3,32.2,29.3,30.0,31.4
Azerbaijan,13.2,7.9,7.0,6.0,7.4,8.8,8.1,8.1,7.3
Georgia,78.1,74.5,82.2,80.4,78.0,80.7,80.6,82.6,76.0
Russian Fed,15.2,14.9,16.4,15.6,14.9,16.1,16.0,17.3,17.6
Turkey,25.3,27.2,28.8,20.9,32.0,32.9,29.3,32.1,43.5
Europe,23.1,26.1,28.7,30.5,31.2,31.6,31.9,34.2,35.7
Albania,98.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,100.0,100.0,100.0,100.0,100.0,99.1,96.0,96.4,95.1
Austria,62.2,70.7,73.9,76.7,72.9,74.8,71.6,72.9,73.3
Belarus,0.4,0.6,0.8,0.7,0.8,1.2,2.2,2.0,2.5
Belgium,9.2,12.7,14.1,16.9,20.8,16.7,18.3,22.8,20.8
Bosnia Herzg,29.1,29.9,42.0,34.9,33.7,31.6,23.2,34.2,36.5
Bulgaria,7.7,11.2,15.7,15.6,17.8,15.6,13.4,20.0,17.0
Croatia,46.5,48.9,66.0,73.3,65.9,65.2,59.4,71.8,65.4
Cyprus,3.6,5.4,7.6,7.3,8.8,8.7,8.7,9.4,10.0
Czechia,8.3,9.2,10.7,10.6,11.2,11.3,11.1,10.7,11.5
Denmark,40.3,48.3,46.0,55.9,65.4,60.2,70.3,68.4,78.2
Estonia,9.2,12.3,9.2,11.2,15.4,13.0,14.1,16.1,28.1
Faroe Islands,39.1,37.9,38.4,50.8,60.1,49.9,51.1,48.8,40.4
Finland,32.9,40.6,36.0,38.6,44.5,44.2,46.6,45.7,46.4
France,11.5,14.9,17.1,16.4,15.8,17.6,16.5,19.5,19.8
Germany,20.2,22.8,23.9,25.9,29.1,29.2,33.1,34.9,39.8
Greece,13.7,16.6,25.1,24.1,28.6,27.4,25.0,30.3,35.3
Hungary,7.5,7.6,9.2,10.7,10.6,10.2,10.6,11.8,13.7
Iceland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ireland,20.0,19.2,21.7,24.5,27.7,24.6,28.8,32.8,38.1
Italy,27.4,30.8,38.7,43.1,38.5,37.3,35.1,39.5,39.4
Kosovo*,1.8,1.6,2.2,2.8,2.3,4.1,3.0,5.1,4.9
Latvia,50.5,66.6,56.9,54.5,50.2,54.2,72.5,52.0,49.6
Lithuania,23.1,23.5,32.0,34.4,34.0,49.1,60.6,62.8,62.2
Luxembourg,6.6,8.1,12.8,13.4,15.6,20.8,26.9,31.1,41.7
Malta,0.5,1.1,1.6,3.4,7.8,15.9,10.4,10.1,10.5
Moldova Rep,6.2,4.7,11.3,9.4,6.8,5.9,10.0,9.5,10.0
Montenegro,45.4,52.0,63.5,55.3,49.7,58.7,45.2,59.3,56.2
Netherlands,10.8,12.1,11.9,11.3,12.4,12.8,14.9,16.6,18.8
North Macedonia,21.2,16.7,26.1,24.0,35.9,36.7,23.1,35.1,22.9
Norway,95.6,97.2,97.3,97.2,96.9,97.4,97.3,97.3,97.1
Poland,8.1,10.5,10.4,12.5,13.8,13.7,14.2,12.7,15.5
Portugal,46.0,41.6,57.0,59.8,46.5,53.6,38.0,49.3,51.6
Romania,26.2,25.3,34.2,41.3,39.5,41.4,37.8,40.4,41.3
Serbia,22.5,25.3,25.6,32.4,26.4,27.6,25.1,29.1,27.9
Slovakia,17.4,19.1,22.0,22.7,22.5,24.5,23.5,21.5,23.4
Slovenia,24.2,27.5,31.7,37.9,28.8,30.7,27.2,32.0,31.3
Spain,29.8,29.2,39.0,39.6,34.6,38.1,31.9,37.9,37.0
Sweden,55.9,59.0,54.0,55.8,63.2,57.1,57.9,55.8,58.7
Switzerland,52.6,58.0,57.9,56.7,60.7,59.9,59.9,56.3,57.5
UK,9.6,11.3,14.9,19.1,24.4,24.5,29.3,33.1,37.3
Ukraine,5.5,5.6,7.8,5.9,4.8,6.0,7.7,8.6,8.3
European Union,20.6,23.3,26.2,28.2,28.9,29.2,29.5,32.1,34.1
Middle East,2.4,2.4,2.5,2.0,1.8,2.2,2.0,2.2,3.1
Bahrain,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Iran IR,5.1,5.0,5.6,5.1,5.1,5.8,5.0,5.4,6.4
Iraq,7.6,9.5,8.2,4.4,3.8,4.3,2.7,2.7,6.1
Israel,0.7,0.8,1.0,1.6,2.1,2.5,2.5,2.5,4.7
Jordan,0.5,0.4,0.4,0.4,1.2,4.4,6.8,10.6,14.3
Kuwait,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
Lebanon,7.0,11.2,10.2,2.2,5.3,4.3,4.2,3.8,8.1
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palestine,0.0,0.2,0.4,0.9,1.8,7.9,8.3,14.3,14.8
Qatar,100.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Syrian AR,7.9,10.5,11.7,10.0,2.3,5.2,3.7,3.0,3.0
United Arab Em,0.0,0.0,0.1,0.3,0.2,0.2,0.6,1.0,2.7
Yemen,0.0,0.0,0.1,0.1,1.9,10.6,13.8,13.8,13.8
N America,18.4,18.3,19.1,19.4,19.6,21.0,23.0,22.7,23.3
Canada,62.5,63.6,64.0,63.1,64.0,64.8,66.5,66.3,66.2
Greenland,74.8,75.0,79.8,81.2,81.3,81.8,77.2,78.1,79.1
Mexico,14.9,13.8,13.3,17.5,15.3,15.3,16.2,17.1,16.9
St Pierre Mq,4.0,4.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0
USA,12.2,12.0,12.6,12.9,13.2,14.7,16.8,16.7,17.5
Oceania,20.4,20.0,22.4,24.3,23.4,24.7,25.3,26.7,28.6
Amer Samoa,0.2,0.9,1.5,1.5,1.5,1.8,2.9,2.9,2.9
Australia,10.4,10.5,13.1,14.6,13.3,14.5,15.6,17.0,19.6
Cook Is,0.2,0.2,1.8,4.4,10.6,16.4,18.6,34.7,34.8
Fiji,58.0,65.0,61.2,49.2,47.8,53.8,51.2,58.4,54.3
Fr Polynesia,27.5,25.7,25.7,29.1,29.7,31.5,30.9,29.3,28.9
Guam,0.0,0.0,0.1,0.2,1.8,3.8,3.4,3.9,4.0
Kiribati,3.2,3.4,3.5,6.1,15.1,16.9,15.5,14.7,13.6
Marshall Is,0.5,0.8,1.1,1.7,1.7,2.1,2.3,2.3,2.3
Micronesia,1.3,1.1,1.5,2.5,3.8,5.5,5.6,6.6,6.6
Nauru,0.1,0.2,0.6,0.7,0.7,0.8,3.2,3.2,3.5
New Caledon,18.8,20.1,20.5,11.7,14.1,9.2,13.5,11.7,13.7
New Zealand,76.2,71.9,74.3,79.2,80.2,84.3,81.2,83.4,81.7
Niue,2.2,2.1,2.1,14.5,13.8,13.8,13.8,13.8,13.8
Palau,0.9,1.2,1.3,1.5,1.5,2.0,2.1,2.6,2.7
Papua N Guin,60.8,61.1,59.2,60.1,61.3,61.6,69.2,61.8,63.3
Samoa,28.3,30.7,27.0,25.9,29.8,31.4,36.1,42.6,43.3
Solomon Is,4.9,4.9,5.3,6.4,6.9,7.6,7.8,6.4,6.8
Tokelau,2.5,61.4,91.4,92.1,92.1,92.1,92.7,92.1,92.1
Tonga,0.3,2.2,5.3,6.8,7.9,8.4,9.3,10.5,12.0
Tuvalu,1.4,1.5,3.2,2.8,11.6,23.6,23.3,23.3,23.3
Vanuatu,16.3,22.9,33.8,25.5,29.8,21.0,20.7,23.4,26.8
S America,73.5,69.0,65.5,64.2,63.9,67.0,67.8,68.7,71.4
Argentina,28.1,25.1,27.4,27.2,27.1,23.8,30.2,30.7,32.3
Bolivia,33.7,31.9,32.6,27.8,29.2,20.6,25.0,29.8,36.4
Brazil,87.2,82.6,76.8,73.3,74.2,80.5,79.2,82.4,82.3
Chile,39.6,36.5,35.7,43.1,43.6,43.3,44.0,46.6,44.6
Colombia,76.1,73.1,66.2,64.5,62.3,65.6,78.7,75.0,70.5
Ecuador,55.6,54.9,49.0,49.2,52.6,60.2,73.7,72.6,78.1
Falklands Malv,36.8,38.2,37.0,36.2,35.1,36.3,34.1,36.1,34.7
Fr Guiana,60.6,68.9,60.2,60.2,58.9,54.0,66.8,63.6,49.3
Guyana,9.5,7.2,8.4,7.8,6.3,7.8,7.9,8.0,8.3
Paraguay,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Peru,55.7,54.6,52.4,50.5,52.5,49.8,57.6,60.9,60.8
South Georgia,,,,,94.4,93.1,95.8,98.6,98.9
Suriname,72.8,55.1,54.1,35.2,29.2,43.8,51.8,56.4,51.6
Uruguay,74.6,64.6,84.1,94.4,93.0,96.7,98.3,97.3,98.1
Venezuela,72.6,64.0,61.5,62.8,59.3,59.2,49.2,30.8,59.5
