"Country or Area","Year","Item","Value"
"Democratic People's Republic of Korea","1981","Gross National Income (GNI)","11510920307.7821"
"Democratic People's Republic of Korea","1980","Gross National Income (GNI)","11100212447.0817"
"Democratic People's Republic of Korea","1979","Gross National Income (GNI)","10663028287.5486"
"Democratic People's Republic of Korea","1978","Gross National Income (GNI)","10243062715.9533"
"Democratic People's Republic of Korea","1977","Gross National Income (GNI)","9839637575.48638"
"Democratic People's Republic of Korea","1976","Gross National Income (GNI)","9452101417.12062"
"Democratic People's Republic of Korea","1975","Gross National Income (GNI)","9079828450.97276"
"Democratic People's Republic of Korea","1974","Gross National Income (GNI)","8224482292.607"
"Democratic People's Republic of Korea","1973","Gross National Income (GNI)","7449712221.40078"
"Democratic People's Republic of Korea","1972","Gross National Income (GNI)","6747927736.57588"
"Democratic People's Republic of Korea","1971","Gross National Income (GNI)","6112253384.8249"
"Democratic People's Republic of Korea","1970","Gross National Income (GNI)","5536461399.22179"
"Republic of Korea","2020","Gross National Income (GNI)","1650493172795.12"
"Republic of Korea","2019","Gross National Income (GNI)","1665473810534.04"
"Republic of Korea","2018","Gross National Income (GNI)","1731701887452.5"
"Republic of Korea","2017","Gross National Income (GNI)","1630520837348.58"
"Republic of Korea","2016","Gross National Income (GNI)","1505595622542.54"
"Republic of Korea","2015","Gross National Income (GNI)","1470358106629.71"
"Republic of Korea","2014","Gross National Income (GNI)","1491502105570.57"
"Republic of Korea","2013","Gross National Income (GNI)","1379532243105.71"
"Republic of Korea","2012","Gross National Income (GNI)","1291795816017.3"
"Republic of Korea","2011","Gross National Income (GNI)","1260980537960.6"
"Republic of Korea","2010","Gross National Income (GNI)","1145775970202.43"
"Republic of Korea","2009","Gross National Income (GNI)","942479070896.604"
"Republic of Korea","2008","Gross National Income (GNI)","1047605092343.33"
"Republic of Korea","2007","Gross National Income (GNI)","1169640900142.76"
"Republic of Korea","2006","Gross National Income (GNI)","1050141034470.67"
"Republic of Korea","2005","Gross National Income (GNI)","928297947824.952"
"Republic of Korea","2004","Gross National Income (GNI)","791800859003.638"
"Republic of Korea","2003","Gross National Income (GNI)","700262906687.495"
"Republic of Korea","2002","Gross National Income (GNI)","624918943906.174"
"Republic of Korea","2001","Gross National Income (GNI)","543949919748.567"
"Republic of Korea","2000","Gross National Income (GNI)","572324070533.154"
"Republic of Korea","1999","Gross National Income (GNI)","492026581053.988"
"Republic of Korea","1998","Gross National Income (GNI)","378370434149.717"
"Republic of Korea","1997","Gross National Income (GNI)","566694984963.387"
"Republic of Korea","1996","Gross National Income (GNI)","608027065999.271"
"Republic of Korea","1995","Gross National Income (GNI)","564501300879.066"
"Republic of Korea","1994","Gross National Income (GNI)","462451461672.899"
"Republic of Korea","1993","Gross National Income (GNI)","392141319864.411"
"Republic of Korea","1992","Gross National Income (GNI)","355053230157.315"
"Republic of Korea","1991","Gross National Income (GNI)","330310764251.884"
"Republic of Korea","1990","Gross National Income (GNI)","283082005894.148"
"Republic of Korea","1989","Gross National Income (GNI)","246202492842.046"
"Republic of Korea","1988","Gross National Income (GNI)","198045483855.533"
"Republic of Korea","1987","Gross National Income (GNI)","146156759171.74"
"Republic of Korea","1986","Gross National Income (GNI)","114324832544.749"
"Republic of Korea","1985","Gross National Income (GNI)","99074963794.1066"
"Republic of Korea","1984","Gross National Income (GNI)","96131418332.5548"
"Republic of Korea","1983","Gross National Income (GNI)","86845304211.8654"
"Republic of Korea","1982","Gross National Income (GNI)","77633879364.1747"
"Republic of Korea","1981","Gross National Income (GNI)","71939738190.1995"
"Republic of Korea","1980","Gross National Income (GNI)","64803249743.8787"
"Republic of Korea","1979","Gross National Income (GNI)","66830371900.8264"
"Republic of Korea","1978","Gross National Income (GNI)","52122933884.2975"
"Republic of Korea","1977","Gross National Income (GNI)","38336570247.9339"
"Republic of Korea","1976","Gross National Income (GNI)","29770041322.314"
"Republic of Korea","1975","Gross National Income (GNI)","21608057851.2397"
"Republic of Korea","1974","Gross National Income (GNI)","19614188850.9269"
"Republic of Korea","1973","Gross National Income (GNI)","13890030251.964"
"Republic of Korea","1972","Gross National Income (GNI)","10885883178.9114"
"Republic of Korea","1971","Gross National Income (GNI)","9979331552.17638"
"Republic of Korea","1970","Gross National Income (GNI)","9168721673.80263"
"Republic of North Macedonia","2020","Gross National Income (GNI)","11695204401.3846"
"Republic of North Macedonia","2019","Gross National Income (GNI)","11965414947.1311"
"Republic of North Macedonia","2018","Gross National Income (GNI)","12151378277.6342"
"Republic of North Macedonia","2017","Gross National Income (GNI)","10859241078.9324"
"Republic of North Macedonia","2016","Gross National Income (GNI)","10247964266.9951"
"Republic of North Macedonia","2015","Gross National Income (GNI)","9747578531.99867"
"Republic of North Macedonia","2014","Gross National Income (GNI)","11149794823.1621"
"Republic of North Macedonia","2013","Gross National Income (GNI)","10536812123.6669"
"Republic of North Macedonia","2012","Gross National Income (GNI)","9569513963.07182"
"Republic of North Macedonia","2011","Gross National Income (GNI)","10297905608.7694"
"Republic of North Macedonia","2010","Gross National Income (GNI)","9282758316.29542"
"Republic of North Macedonia","2009","Gross National Income (GNI)","9334870950.32208"
"Republic of North Macedonia","2008","Gross National Income (GNI)","9789763877.2307"
"Republic of North Macedonia","2007","Gross National Income (GNI)","7947274399.29144"
"Republic of North Macedonia","2006","Gross National Income (GNI)","6833739272.88151"
"Republic of North Macedonia","2005","Gross National Income (GNI)","6149384624.32293"
"Republic of North Macedonia","2004","Gross National Income (GNI)","5647486078.16377"
"Republic of North Macedonia","2003","Gross National Income (GNI)","4886309466.31913"
"Republic of North Macedonia","2002","Gross National Income (GNI)","3972587950.74576"
"Republic of North Macedonia","2001","Gross National Income (GNI)","3682440884.69336"
"Republic of North Macedonia","2000","Gross National Income (GNI)","3702885128.23223"
"Republic of North Macedonia","1999","Gross National Income (GNI)","3796651442.31306"
"Republic of North Macedonia","1998","Gross National Income (GNI)","3696657119.64731"
"Republic of North Macedonia","1997","Gross National Income (GNI)","3832686208.81917"
"Republic of North Macedonia","1996","Gross National Income (GNI)","4588043246.51101"
"Republic of North Macedonia","1995","Gross National Income (GNI)","4665166225.96936"
"Republic of North Macedonia","1994","Gross National Income (GNI)","3510551656.97855"
"Republic of North Macedonia","1993","Gross National Income (GNI)","2896144905.33104"
"Republic of North Macedonia","1992","Gross National Income (GNI)","2655671279.37132"
"Republic of North Macedonia","1991","Gross National Income (GNI)","2898561889.39748"
"Republic of North Macedonia","1990","Gross National Income (GNI)","2872592388.08398"

