"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"AME","Americas","CAN","Canada","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.8,,
"AME","Americas","CAN","Canada","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",1.9,,
"ALL","All regions","CAN","Canada","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CAN","Canada","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.8,,
"ALL","All regions","CAN","Canada","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",1.9,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"EUR","Europe","DNK","Denmark","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"EUR","Europe","DNK","Denmark","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",0,,
"EUR","Europe","DNK","Denmark","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"ALL","All regions","DNK","Denmark","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","DNK","Denmark","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",0,,
"ALL","All regions","DNK","Denmark","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"EUR","Europe","FIN","Finland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","FIN","Finland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11.2,,
"EUR","Europe","FIN","Finland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",30,,
"ALL","All regions","FIN","Finland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","FIN","Finland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11.2,,
"ALL","All regions","FIN","Finland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",30,,
"EUR","Europe","FRA","France","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","FRA","France","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.6,,
"EUR","Europe","FRA","France","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",26,,
"ALL","All regions","FRA","France","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","FRA","France","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.6,,
"ALL","All regions","FRA","France","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",26,,
"EUR","Europe","DEU","Germany","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","DEU","Germany","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",19.6,,
"EUR","Europe","DEU","Germany","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"ALL","All regions","DEU","Germany","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","DEU","Germany","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",19.6,,
"ALL","All regions","DEU","Germany","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"EUR","Europe","GRC","Greece","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","GRC","Greece","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","GRC","Greece","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","GRC","Greece","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","GRC","Greece","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","GRC","Greece","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"EUR","Europe","HUN","Hungary","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","HUN","Hungary","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",8.7,,
"EUR","Europe","HUN","Hungary","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"ALL","All regions","HUN","Hungary","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","HUN","Hungary","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",8.7,,
"ALL","All regions","HUN","Hungary","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"EUR","Europe","ISL","Iceland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","ISL","Iceland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22.4,,
"ALL","All regions","ISL","Iceland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","ISL","Iceland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22.4,,
"EUR","Europe","IRL","Ireland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","IRL","Ireland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",1,,
"EUR","Europe","IRL","Ireland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"ALL","All regions","IRL","Ireland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","IRL","Ireland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",1,,
"ALL","All regions","IRL","Ireland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"EUR","Europe","ITA","Italy","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","ITA","Italy","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5.3,,
"EUR","Europe","ITA","Italy","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","ITA","Italy","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","ITA","Italy","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5.3,,
"ALL","All regions","ITA","Italy","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ASI","Asia","JPN","Japan","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","JPN","Japan","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",8.9,,
"ASI","Asia","JPN","Japan","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15.4,,
"ALL","All regions","JPN","Japan","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","JPN","Japan","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",8.9,,
"ALL","All regions","JPN","Japan","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15.4,,
"ASI","Asia","KOR","Korea","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ASI","Asia","KOR","Korea","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",18.4,,
"ASI","Asia","KOR","Korea","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.5,,
"ALL","All regions","KOR","Korea","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","KOR","Korea","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",18.4,,
"ALL","All regions","KOR","Korea","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.5,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.4,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.4,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.7,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.7,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35,,
"EUR","Europe","NOR","Norway","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","NOR","Norway","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",9.9,,
"EUR","Europe","NOR","Norway","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",27,,
"ALL","All regions","NOR","Norway","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NOR","Norway","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",9.9,,
"ALL","All regions","NOR","Norway","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",27,,
"EUR","Europe","POL","Poland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","POL","Poland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.9,,
"EUR","Europe","POL","Poland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","POL","Poland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","POL","Poland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.9,,
"ALL","All regions","POL","Poland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"EUR","Europe","PRT","Portugal","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","PRT","Portugal","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","PRT","Portugal","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","PRT","Portugal","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","PRT","Portugal","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","PRT","Portugal","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",23,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",23,,
"EUR","Europe","ESP","Spain","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"EUR","Europe","ESP","Spain","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",9.6,,
"EUR","Europe","ESP","Spain","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","ESP","Spain","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","ESP","Spain","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",9.6,,
"ALL","All regions","ESP","Spain","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"EUR","Europe","SWE","Sweden","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SWE","Sweden","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.2,,
"EUR","Europe","SWE","Sweden","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",28,,
"ALL","All regions","SWE","Sweden","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SWE","Sweden","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.2,,
"ALL","All regions","SWE","Sweden","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",28,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",15.2,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",9.8,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",15.2,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",9.8,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.2,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",29,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.2,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",29,,
"AME","Americas","USA","United States","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AME","Americas","USA","United States","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11,,
"AME","Americas","USA","United States","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35.6,,
"ALL","All regions","USA","United States","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","USA","United States","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11,,
"ALL","All regions","USA","United States","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35.6,,
"AME","Americas","ATG","Antigua and Barbuda","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","ATG","Antigua and Barbuda","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","ARG","Argentina","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","ARG","Argentina","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11.6,,
"ALL","All regions","ARG","Argentina","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","ARG","Argentina","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",11.6,,
"AME","Americas","BHS","Bahamas","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","BHS","Bahamas","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","BHR","Bahrain","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BHR","Bahrain","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","BRB","Barbados","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","BRB","Barbados","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3.3,,
"ALL","All regions","BRB","Barbados","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BRB","Barbados","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3.3,,
"ASI","Asia","BRN","Brunei Darussalam","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BRN","Brunei Darussalam","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","CHL","Chile","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","CHL","Chile","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.3,,
"AME","Americas","CHL","Chile","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",6.7,,
"ALL","All regions","CHL","Chile","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CHL","Chile","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.3,,
"ALL","All regions","CHL","Chile","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",6.7,,
"EUR","Europe","HRV","Croatia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","HRV","Croatia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",4.4,,
"EUR","Europe","HRV","Croatia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","HRV","Croatia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","HRV","Croatia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",4.4,,
"ALL","All regions","HRV","Croatia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.5,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",10.5,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"EUR","Europe","EST","Estonia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","EST","Estonia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",16.9,,
"EUR","Europe","EST","Estonia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",20,,
"ALL","All regions","EST","Estonia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","EST","Estonia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",16.9,,
"ALL","All regions","EST","Estonia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",20,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",26,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",9.4,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",26,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",9.4,,
"ASI","Asia","ISR","Israel","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","ISR","Israel","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","KWT","Kuwait","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","KWT","Kuwait","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",37,,
"ALL","All regions","KWT","Kuwait","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","KWT","Kuwait","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",37,,
"EUR","Europe","LVA","Latvia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"EUR","Europe","LVA","Latvia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","LVA","Latvia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"ALL","All regions","LVA","Latvia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LVA","Latvia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","LVA","Latvia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"EUR","Europe","MLT","Malta","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","MLT","Malta","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",0,,
"EUR","Europe","MLT","Malta","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"ALL","All regions","MLT","Malta","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MLT","Malta","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",0,,
"ALL","All regions","MLT","Malta","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"ASI","Asia","OMN","Oman","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","OMN","Oman","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.9,,
"ALL","All regions","OMN","Oman","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","OMN","Oman","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",7.9,,
"AME","Americas","PAN","Panama","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"AME","Americas","PAN","Panama","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5.7,,
"ALL","All regions","PAN","Panama","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","PAN","Panama","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",5.7,,
"ASI","Asia","QAT","Qatar","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","QAT","Qatar","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.6,,
"ALL","All regions","QAT","Qatar","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","QAT","Qatar","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",6.6,,
"ASI","Asia","SAU","Saudi Arabia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SAU","Saudi Arabia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","SYC","Seychelles","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SYC","Seychelles","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","SGP","Singapore","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","SGP","Singapore","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",40.5,,
"ASI","Asia","SGP","Singapore","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",6.1,,
"ALL","All regions","SGP","Singapore","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","SGP","Singapore","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",40.5,,
"ALL","All regions","SGP","Singapore","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",6.1,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",15.8,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","SVN","Slovenia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
