HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
182, Burkina Faso,37.3,,37.3,,36.2,,38.5,,38.6,,38.6,,35.7,,39.2,,39.2,,39.2,"a,b"
185, Burundi,36.3,,..,,..,,41,,36.9,,36.9,,36.9,,39.5,,39.5,,39.5,"a,b"
126, Cabo Verde,30.7,,30.7,,..,,18.2,,18.2,,18.2,,22.9,,23.7,,23.7,,23.7,"a,b"
144, Cambodia,31.1,,31.1,,28.3,,28.3,,28.3,,27.3,,27.3,,27.3,,27.3,,27.3,"a,b"
153, Cameroon,35.3,,35.3,,35.3,,34.8,,34.8,,34.8,,34.8,,33,,33,,31.7,"a,b"
16, Canada,3.2,,3.2,,3.2,,4,,3.9,,3.9,,2.1,,1.4,,2.7,,2.7,"a,b"
188, Central African Republic,45.9,,45.9,,45.9,,45.9,,34.5,,34.5,,34.5,,34.5,,34.5,,34.5,"a,b"
187, Chad,37.8,,43.4,,43.4,,43.4,,41.9,,41.9,,43,,43,,43,,43,"a,b"
43, Chile,13.3,,13.7,,13.7,,13.7,,12.6,,8.2,,8.2,,7.5,,20.5,,10.4,"a,b"
85, China,23.2,,23.2,,23.2,,..,,..,,..,,..,,11.5,,11.7,,11.7,"a,b"
83, Colombia,23.9,,22.8,,21.5,,22.1,,21.3,,17.4,,17.1,,19.4,,20.3,,18.6,"a,b"
156, Comoros,47.4,,47.4,,47.4,,47.4,,47.6,,47.6,,47.6,,47.6,,47.6,,47.6,"a,b"
149, Congo,30,,25.4,,25.4,,25.4,,21.5,,21.5,,21.5,,21.5,,20.9,,20.9,"a,b"
175, Congo (Democratic Republic of the),29.1,,31.2,,31.2,,29.4,,27.7,,27.7,,27.7,,26.3,,28.5,,26.8,"a,b"
62, Costa Rica,17.7,,17.7,,15.7,,15.7,,15.5,,12.4,,12.3,,11.9,,17,,11.6,"a,b"
43, Croatia,10.4,,10.4,,10.4,,10.4,,4.3,,4.4,,5,,5,,4.9,,4.7,"a,b"
70, Cuba,..,,..,,..,,11,,11.3,,10.9,,10.9,,10.9,,10.9,,7.8,"a,b"
33, Cyprus,15.7,,15,,16.3,,14,,13.1,,12.4,,12.7,,11.7,,11,,10.5,"a,b"
27, Czechia,1.3,,1.3,,1.3,,1.4,,1.4,,1.4,,1.6,,1.6,,1.4,,1.4,"a,b"
162, Cote d'Ivoire,44.8,,43.2,,43.2,,45.4,,45.1,,45.1,,45.1,,47.4,,47.4,,45.6,"a,b"
10, Denmark,3,,3.1,,3.1,,3.1,,3,,3,,4.3,,4.3,,3,,2.9,"a,b"
166, Djibouti,47,,47,,47,,47,,47,,47,,47,,47,,..,,..,
88, Dominican Republic,22.2,,26.8,,26.8,,24,,22.9,,19.9,,21.1,,19.1,,19.1,,15.8,"a,b"
86, Ecuador,21.8,,22.1,,22.1,,21.6,,21.1,,15.5,,14.2,,13.8,,16.5,,13.9,"a,b"
116, Egypt,43.6,,40.9,,40.9,,40.9,,40.9,,35,,36.9,,36.9,,38.1,,38.1,"a,b"
124, El Salvador,32.5,,32.4,,32.4,,30.2,,30.2,,26.6,,30.3,,30.3,,29.1,,29.1,"a,b"
145, Equatorial Guinea,29.2,,29.2,,..,,..,,..,,..,,..,,..,,..,,..,
29, Estonia,3.1,,2.7,,2.6,,2.5,,2.4,,2.3,,2.4,,2.3,,2.1,,2.3,"a,b"
138, Eswatini (Kingdom of),38.3,,29.8,,29.8,,26.8,,26.8,,26.8,,24.1,,24.1,,24.1,,24.1,"a,b"
173, Ethiopia,38.2,,38.2,,38.3,,44.3,,44.3,,36.6,,36.6,,43.5,,43.5,,43.5,"a,b"
93, Fiji,11,,..,,..,,10.5,,10.5,,10.5,,..,,..,,..,,..,
11, Finland,4.7,,2.1,,2.4,,2.1,,2.1,,2,,2,,1.9,,2.3,,2.2,"a,b"
26, France,9.1,,9.1,,9.4,,8.6,,8,,7.5,,8.6,,8.6,,9.1,,9.5,"a,b"
119, Gabon,7.3,,7.3,,7.3,,23.5,,23.5,,23.5,,23.5,,23.5,,23.5,,23.5,"a,b"
172, Gambia,44.7,,..,,..,,..,,..,,..,,49.3,,49.3,,49.3,,47.7,"a,b"
61, Georgia,4.9,,3.3,,3.3,,3.3,,3.3,,2.2,,2.2,,2.2,,3.2,,4.1,"a,b"
6, Germany,2.3,,1.8,,1.8,,2.4,,2.4,,2.6,,2.6,,2.7,,2.7,,2.3,"a,b"
138, Ghana,7.5,,40.9,,40.9,,35.6,,36.7,,34.9,,34.9,,34.9,,34.9,,35.1,"a,b"
32, Greece,5.8,,14.3,,11.3,,11.3,,11.6,,11.7,,14.2,,13.1,,12.8,,11.1,"a,b"
127, Guatemala,36.1,,36.1,,36.1,,36.1,,36.2,,36.2,,35,,35,,30.8,,30.8,"a,b"
178, Guinea,42.6,,42,,42,,42,,48.3,,48.3,,48.3,,48.3,,48.3,,50.1,"a,b"
175, Guinea-Bissau,40.3,,40.3,,40.3,,40.3,,40.3,,40.3,,41.9,,41.9,,41.9,,41.9,"a,b"
122, Guyana,9.6,,11.7,,10.5,,10.5,,10.5,,10.5,,10.7,,10.7,,10.7,,10.7,"a,b"
170, Haiti,40.7,,40.7,,40.7,,40.4,,38.3,,38.3,,38.3,,38.3,,37.3,,37.3,"a,b"
132, Honduras,31,,31.8,,28.2,,29.6,,26.4,,24.4,,23,,22.7,,26.6,,23.3,"a,b"
4," Hong Kong, China (SAR)",..,,..,,..,,..,,..,,..,,11.1,,10.2,,9.8,,9.8,"a,b"
40, Hungary,4.1,,4,,4.1,,3.5,,3.2,,3.1,,3,,3.2,,3.2,,3.1,"a,b"
4, Iceland,2.6,,2.6,,2.5,,2.5,,2.4,,2.5,,2.6,,2.6,,2.8,,2.8,"a,b"
131, India,40.6,,40.6,,42.4,,42.1,,42.1,,39.4,,39.4,,38.7,,38.7,,38.7,"a,b"
107, Indonesia,21.4,,20.4,,20.4,,23.2,,20.8,,20.8,,20.8,,16.5,,18.2,,16.2,"a,b"
70, Iran (Islamic Republic of),..,,..,,..,,37.3,,37.3,,37.3,,..,,4.9,,5,,5,"a,b"
123, Iraq,..,,..,,33,,29.8,,30.6,,30.6,,29.8,,27.2,,29.7,,29.7,"a,b"
2, Ireland,3.2,,3.2,,3.2,,5.2,,5.4,,3,,2.9,,2.9,,3.5,,3.3,"a,b"
19, Israel,7.9,,7.9,,7.9,,7.9,,9.9,,8.4,,8.4,,7,,3.7,,5.7,"a,b"
29, Italy,11.8,,11.4,,13.1,,11.7,,10.6,,9.9,,11.5,,10.5,,11,,10.6,"a,b"
101, Jamaica,8.3,,8.3,,10.6,,10.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,"a,b"
19, Japan,..,,..,,..,,19.8,,19.8,,19.8,,19.8,,..,,1.6,,4.7,"a,b"
102, Jordan,25.1,,22.4,,22.4,,22.4,,16.9,,16.9,,16.9,,16.9,,15.4,,15.4,"a,b"
51, Kazakhstan,5.3,,5.3,,6.9,,5.9,,5.9,,5.9,,3.2,,3.2,,3.2,,3.2,"a,b"
143, Kenya,29.2,,30.7,,30.7,,30.7,,26,,22.9,,22.9,,22.9,,22.9,,22.9,"a,b"
134, Kiribati,..,,..,,..,,21.4,,21.4,,21.4,,21.4,,21.4,,..,,9.6,"a,b"
23, Korea (Republic of),25.5,,25.5,,25.5,,28.1,,25.5,,25.5,,18.5,,18.5,,18.5,,8.8,"a,b"
64, Kuwait,..,,..,,..,,..,,..,,..,,17.2,,17.8,,22.1,,22.1,"a,b"
120, Kyrgyzstan,11.1,,11.1,,6.5,,6.6,,5,,5,,5,,5,,5,,3.4,"a,b"
137, Lao People's Democratic Republic,30.5,,30.5,,31.2,,34.1,,34.1,,34.1,,34.1,,34.1,,31.3,,31.3,"a,b"
37, Latvia,3.3,,3.8,,3.6,,3.6,,3.5,,3.8,,3.7,,3.7,,2.6,,2.5,"a,b"
92, Lebanon,..,,24.1,,24.1,,24.1,,24.1,,24.1,,6.2,,6.2,,6.2,,6.2,"a,b"
165, Lesotho,24.9,,24.3,,24.3,,24.3,,24.3,,24.3,,21.9,,21.9,,21.9,,19.6,"a,b"
175, Liberia,46.4,,46.4,,46.4,,46.4,,46.4,,42.9,,42.9,,42.9,,42.9,,42.9,"a,b"
34, Lithuania,4.3,,4.1,,5,,6.1,,5.9,,5.6,,5.4,,4.5,,4.3,,3.9,"a,b"
23, Luxembourg,6.2,,6.2,,6.3,,6,,6,,5.8,,8.1,,9.4,,8,,6.3,"a,b"
164, Madagascar,30.8,,30.1,,30.1,,30.1,,35,,35,,35,,35,,35,,29.3,"a,b"
174, Malawi,34.7,,34.7,,30.2,,30.2,,30.2,,28.2,,28.4,,28.4,,28.4,,28.4,"a,b"
62, Malaysia,..,,..,,..,,..,,..,,..,,..,,15.6,,12.1,,12.1,"a,b"
95, Maldives,11.5,,41.2,,41.2,,41.2,,40,,40,,40,,40,,29.3,,29.3,"a,b"
184, Mali,36.9,,36.9,,36.9,,36.9,,41.6,,41.6,,41.6,,46.2,,39.2,,43.9,"a,b"
28, Malta,..,,..,,5.5,,5.7,,7.3,,6,,6.7,,6.9,,6.7,,6.2,"a,b"
117, Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,4.3,,4.3,"a,b"
157, Mauritania,43.2,,43.2,,42.1,,45.9,,40.8,,40.8,,40.8,,40.8,,40.8,,40.8,"a,b"
66, Mauritius,..,,13.5,,13.5,,13.2,,13.2,,13.2,,13.2,,13.2,,13.2,,13.2,"a,b"
74, Mexico,17.9,,21.9,,21.9,,21.4,,19.7,,19.7,,17.1,,17.1,,18.5,,18.4,"a,b"
136, Micronesia (Federated States of),22.4,,22.4,,..,,..,,..,,..,,..,,..,,..,,..,
90, Moldova (Republic of),7.5,,6.1,,6.1,,6.1,,7.3,,7.3,,7.3,,7.3,,7.3,,7.3,"a,b"
99, Mongolia,5.8,,5.8,,8.9,,5.2,,9.4,,9.4,,11.9,,11.9,,11.9,,11.9,"a,b"
48, Montenegro,9.6,,2.5,,2.5,,2.5,,7.4,,7.4,,7.4,,7.4,,7.4,,7.8,"a,b"
121, Morocco,42.7,,45.8,,45.8,,45.8,,45.8,,45.8,,..,,..,,..,,..,
181, Mozambique,28.2,,18.2,,18.2,,18.2,,33.8,,33.8,,33.8,,33.8,,33.8,,33.8,"a,b"
147, Myanmar,..,,..,,..,,19.4,,19.4,,19.4,,26.9,,26.9,,26.9,,26.9,"a,b"
130, Namibia,27.8,,27.8,,27.8,,27.8,,27.8,,25,,25,,25,,25,,25,"a,b"
142, Nepal,43.3,,43.6,,43.6,,44,,41.4,,43.9,,43.9,,40.9,,40.9,,40.9,"a,b"
8, Netherlands,4,,3.9,,3.9,,4.1,,4.1,,4.2,,4.6,,5.3,,4.9,,5.4,"a,b"
14, New Zealand,..,,..,,..,,..,,..,,..,,2.5,,1.7,,6.4,,1.8,"a,b"
128, Nicaragua,33.3,,33.3,,33.3,,33.3,,29.5,,29.5,,25.7,,25.7,,25.7,,25.7,"a,b"
189, Niger,31.3,,39.5,,39.5,,39.5,,35,,35,,35,,35,,35,,35,"a,b"
161, Nigeria,46,,44.2,,45.2,,45.2,,43.3,,43.3,,43.8,,38.1,,38.1,,40.4,"a,b"
82, North Macedonia,17.5,,17.5,,12.3,,10.6,,10.6,,10.6,,10.5,,10.5,,10.5,,8.4,"a,b"
1, Norway,2.4,,2.2,,2.2,,2.4,,2.3,,2.4,,5.3,,6.1,,4.4,,2.3,"a,b"
60, Oman,..,,..,,..,,..,,..,,..,,..,,..,,11.9,,11.9,"a,b"
154, Pakistan,46.4,,46.4,,45.2,,45.2,,44.4,,44.4,,44.4,,46.2,,43.5,,43.5,"a,b"
50, Palau,..,,..,,..,,12,,12,,12,,12,,..,,1.9,,1.9,"a,b"
115," Palestine, State of",..,,..,,..,,6.9,,16.5,,16.5,,13.3,,14.1,,11.9,,11.6,"a,b"
57, Panama,9.9,,17.8,,17.8,,16.3,,16.6,,13.6,,13.1,,12.5,,12.5,,11.4,"a,b"
155, Papua New Guinea,..,,..,,..,,11.5,,11.5,,11.5,,11.5,,11.5,,11.5,,35.7,"a,b"
103, Paraguay,19.8,,19.8,,..,,17.2,,16.2,,14,,13.8,,16.7,,18.1,,16.7,"a,b"
79, Peru,30.2,,24,,24.6,,25.6,,23.3,,20.3,,16.1,,15.3,,18.1,,17,"a,b"
107, Philippines,12.9,,13.5,,13.5,,13.5,,11.6,,11.6,,11.6,,11.6,,10.1,,10.1,"a,b"
35, Poland,7.1,,6.6,,6.3,,5.6,,5.6,,5.4,,5.4,,4.7,,5.2,,4.9,"a,b"
38, Portugal,5.7,,5.6,,5.6,,5.7,,5.9,,5.9,,17.5,,16.3,,15.8,,15,"a,b"
45, Qatar,..,,..,,..,,..,,..,,..,,11.9,,11.4,,11.8,,11.8,"a,b"
49, Romania,13.1,,5,,5,,5,,4.7,,4.6,,6,,6.3,,5.3,,5.3,"a,b"
52, Russian Federation,11.2,,11.2,,..,,2.1,,2.3,,2.2,,2.2,,2.2,,3.1,,4.2,"a,b"
160, Rwanda,30.7,,30.7,,29.4,,29.4,,29.4,,29.3,,29.3,,29.3,,29.3,,29.3,"a,b"
86, Saint Lucia,..,,..,,..,,..,,9.2,,9.2,,9.2,,12.6,,12.6,,12.6,"a,b"
111, Samoa,..,,..,,..,,..,,..,,..,,..,,4.9,,4.9,,4.9,"a,b"
135, Sao Tome and Principe,22.7,,19.1,,20,,20,,21.4,,21.4,,18.3,,18.3,,18.3,,18.3,"a,b"
40, Saudi Arabia,..,,..,,..,,..,,..,,..,,16.4,,16.2,,18,,18,"a,b"
168, Senegal,47.3,,45.1,,44.6,,44.6,,44.7,,44.7,,45.3,,46.5,,46,,46.4,"a,b"
64, Serbia,11.1,,9.9,,9.9,,10.7,,8.1,,8.1,,9.3,,8.1,,8.1,,7.5,"a,b"
67, Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.7,"a,b"
182, Sierra Leone,48.2,,47.4,,47.4,,48.7,,49.6,,47.3,,47.3,,47.3,,46.9,,46.9,"a,b"
11, Singapore,..,,..,,..,,..,,..,,..,,8.8,,8.2,,11,,11,"a,b"
39, Slovakia,1.7,,1.6,,1.5,,1.5,,1.5,,1.4,,1.6,,1.4,,1.6,,1.6,"a,b"
22, Slovenia,4,,3.1,,3.3,,2.7,,2.6,,2.6,,2.2,,2.2,,2.2,,2.1,"a,b"
151, Solomon Islands,30.2,,..,,..,,22.8,,22.8,,22.8,,..,,..,,..,,..,
.., Somalia,..,,..,,..,,..,,43.5,,43.5,,..,,..,,..,,..,
114, South Africa,20.8,,20.8,,20.8,,18.1,,16.1,,13.8,,14.3,,14.3,,17.3,,17.3,"a,b"
185, South Sudan,..,,..,,..,,..,,39.6,,39.6,,39.6,,39.6,,39.6,,39.6,"a,b"
25, Spain,5.7,,5.5,,5.5,,5.4,,5.2,,5.1,,19.2,,18.6,,17.1,,16.9,"a,b"
72, Sri Lanka,17.9,,17.9,,14.6,,14.6,,12.8,,12.8,,12.8,,12.8,,7.4,,12,"a,b"
170, Sudan,..,,..,,..,,..,,42.7,,42.7,,42.5,,42.5,,42.5,,42.5,"a,b"
97, Suriname,20.1,,20.1,,20.1,,19.5,,19,,19,,15.2,,15.6,,15.6,,18.4,"a,b"
7, Sweden,3.6,,3.9,,3.8,,3.6,,3.5,,3.4,,3.5,,3.7,,3.8,,3.7,"a,b"
2, Switzerland,2,,2,,2,,5.8,,5.7,,5.7,,2.4,,2.4,,1.9,,1.8,"a,b"
151, Syrian Arab Republic,31.5,,31.5,,31.5,,31.5,,31.5,,31.5,,31.5,,..,,..,,..,
125, Tajikistan,9.4,,9.4,,12.2,,12.2,,6.5,,6.5,,6.5,,6.5,,6,,6,"a,b"
163, Tanzania (United Republic of),28.7,,32.8,,28.3,,29.5,,28.5,,28.5,,27,,27,,27,,27,"a,b"
79, Thailand,18,,18,,18,,16.1,,16.1,,16.1,,16.6,,13.3,,18.3,,18.3,"a,b"
141, Timor-Leste,44.3,,47.4,,47.6,,47.6,,47.6,,47.6,,47.6,,44.9,,44.9,,44.9,"a,b"
167, Togo,41.5,,41.5,,41.5,,37.6,,38.9,,38.9,,38.9,,38.9,,38.9,,37.7,"a,b"
104, Tonga,5.1,,..,,..,,..,,..,,..,,..,,4.5,,4.5,,4.5,"a,b"
67, Trinidad and Tobago,6.6,,6.6,,6.6,,6.6,,6.6,,6.6,,6.6,,..,,..,,..,
95, Tunisia,38.7,,38.7,,..,,..,,34.6,,34.6,,34.6,,34.6,,32.8,,30.7,"a,b"
54, Turkey,27.4,,27.4,,27.4,,14.1,,14.2,,14.2,,14.2,,13.5,,16.5,,16.5,"a,b"
111, Turkmenistan,10.2,,..,,..,,..,,..,,..,,3.6,,3.6,,3.6,,2.9,"a,b"
.., Tuvalu,..,,..,,..,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,"a,b"
159, Uganda,28.2,,32.2,,32.2,,31.2,,29.4,,29.4,,29.4,,27.9,,27.9,,27.9,"a,b"
74, Ukraine,2.8,,6.1,,6.1,,6.1,,3.6,,3.6,,3.6,,3.6,,3.6,,3.6,"a,b"
31, United Arab Emirates,..,,..,,..,,..,,..,,..,,..,,..,,18.2,,18.2,"a,b"
13, United Kingdom,2.1,,2.2,,2.6,,2.6,,2.8,,2.8,,8.7,,3.7,,2.8,,2.7,"a,b"
17, United States,3.2,,3.7,,5.3,,6.7,,5.3,,5.6,,5.6,,5.5,,5.5,,2.8,"a,b"
55, Uruguay,10.8,,10.8,,10.8,,10.9,,9.2,,10.4,,7.4,,7.4,,8.2,,6.5,"a,b"
106, Uzbekistan,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.3,,0.8,,0.7,,0.7,"a,b"
140, Vanuatu,..,,..,,..,,..,,17.5,,17.5,,17.5,,17.5,,..,,..,
113, Venezuela (Bolivarian Republic of),17,,18.1,,18.1,,17.6,,17.6,,17.6,,14.5,,12.9,,8.8,,8.8,"a,b"
117, Viet Nam,17.1,,17.1,,17.1,,18,,18,,17.6,,17.6,,17.6,,17.6,,17.6,"a,b"
179, Yemen,49.8,,49.8,,49.8,,47.2,,48.1,,48.1,,46.1,,46.1,,46.1,,46.1,"a,b"
146, Zambia,24.2,,23.8,,23.8,,23.8,,21.7,,21.7,,21.7,,21.7,,21.7,,20.4,"a,b"
150, Zimbabwe,20.1,,20.1,,17.8,,17.8,,17.4,,17.4,,16.8,,16.8,,16.8,,14.6,"a,b"
78, Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
47, Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
94, Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
180, Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
74, Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
74, Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
105, Libya,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
19, Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
97, Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,,..,
 ,Very high human development,8,,8,,8.2,,8.2,,7.7,,7.6,,8.4,,7.1,,7.1,,6.4,
 ,High human development,22.2,,22.2,,22.1,,21.9,,20.8,,19.8,,18.6,,14.2,,14.8,,14.5,
 ,Medium human development,38.8,,39.1,,39.9,,38.9,,38.7,,36.9,,36.9,,36.5,,19.9,,37.1,
 ,Low human development,38.1,,38.1,,37.9,,38.6,,38.7,,37.7,,37.6,,37.4,,37.4,,37.9,
 ,Developing Countries,30.2,,30.3,,30.6,,32.7,,32.4,,31,,30.5,,25.3,,19.8,,25.5,
,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,,..,
 ,Arab States,41.8,,40.5,,39.5,,38,,38.9,,37.1,,32.8,,32.5,,32.5,,32.5,
 ,East Asia and the Pacific,22.1,,22,,21.9,,19.7,,18.4,,18.3,,18.9,,13.1,,13.5,,13.4,
 ,Europe and Central Asia,12.8,,12.9,,13,,8.6,,7.9,,7.9,,7.4,,7.2,,8.3,,8.2,
 ,Latin America and the Caribbean,22.6,,23.2,,23,,22.2,,21,,19.7,,18.4,,18.4,,19.7,,18,
 ,South Asia,41.3,,40.9,,42.1,,41.6,,41.5,,39.5,,39.7,,37.8,,18.4,,37.5,
 ,Sub-Saharan Africa,34.3,,35.6,,35.3,,35.7,,35.3,,34,,34.1,,33.8,,34,,34.1,
 ,Least Developed Countries,37.1,,36.8,,36.2,,35.6,,36.4,,35.4,,35.5,,36.2,,36.3,,36,
 ,Small Island Developing States,27.6,,29.6,,30.1,,22,,21.1,,20.5,,19.9,,19.6,,19.7,,22,
 ,Organization for Economic Co-operation and Development,8.4,,9,,9.6,,10.2,,9.5,,9.5,,10,,8.3,,8.2,,7.6,
 ,World,26.2,,26.3,,27,,27.2,,26.9,,25.9,,25.7,,22.3,,17.4,,22.1,
a: See http://hdr.undp.org/en/composite/IHDI for the list of surveys used to estimate inequalities.,,,,,,,,,,,,,,,,,,,,,
b: Data refer to 2019 or the most recent year available.,,,,,,,,,,,,,,,,,,,,,
